壺	壶
鑽	钻
協	协
倀	伥
鶉	鹑
鰈	鲽
蠐	蛴
貓	猫
欒	栾
鄖	郧
鐘	钟
箝	钳
稜	棱
巖	岩
鴞	鸮
撣	掸
輪	轮
厭	厌
睜	睁
禱	祷
頰	颊
徵	徵,征
癰	痈
証	证
釁	衅
竇	窦
鱈	鳕
齊	齐
蕎	荞
賓	宾
濕	湿
勗	勖
皸	皲
痙	痉
飛	飞
靚	靓
鯝	鲴
廟	庙
絞	绞
擣	捣
諧	谐
鉬	钼
颼	飕
駱	骆
顰	颦
鳳	凤
慶	庆
藹	蔼
詼	诙
滿	满
鍁	锨
鐃	铙
鎂	镁
紉	纫
茍	苟
讒	谗
伕	夫
難	难
醖	酝
嬝	袅
縟	缛
綞	缍
莢	荚
榦	干
洩	泄
貨	货
倫	伦
匭	匦
銬	铐
嘯	啸
單	单
餱	糇
鰳	鳓
噲	哙
張	张
麴	曲
憶	忆
蠻	蛮
欽	钦
剋	克
鷊	鹝
藎	荩
軔	轫
鉗	钳
顛	颠
矚	瞩
幟	帜
緞	缎
腡	脶
災	灾
噯	嗳
罵	骂
黴	霉
艷	艳
懶	懒
濁	浊
柺	拐
譽	誉
諼	谖
邁	迈
儀	仪
閃	闪
箇	个
順	顺
紈	纨
縊	缢
躂	跶
躕	蹰
輔	辅
鎗	枪
倖	幸
騅	骓
簞	箪
熱	热
販	贩
醫	医
鐮	镰
颱	台
瀉	泻
茲	兹
麵	面
鱟	鲎
蘺	蓠
氾	泛
闃	阒
囅	冁
靄	霭
鯇	鲩
顆	颗
綹	绺
詒	诒
轔	辚
鏗	铿
駛	驶
惡	恶
鋭	锐
鍬	锹
矯	矫
鷳	鹇
聶	聂
數	数
佔	占
鰉	鳇
綈	绨
纊	纩
蠑	蝾
贓	赃
摯	挚
傖	伧
鐙	镫
閘	闸
餛	馄
皚	皑
膠	胶
蔣	蒋
嶢	峣
趨	趋
躪	躏
爭	争
鎬	镐
報	报
紳	绅
縵	缦
悶	闷
褻	亵
殼	壳
漿	浆
鳴	鸣
釀	酿
飆	飙
鱉	鳖
態	态
諒	谅
蹕	跸
齟	龃
糞	粪
臠	脔
淨	净
鉭	钽
顱	颅
絳	绛
鹵	卤
蛺	蛱
潿	涠
賾	赜
鈀	钯
儂	侬
鬆	松
縈	萦
訐	讦
躓	踬
趕	赶
颮	飑
妝	妆
頜	颌
採	采
銫	铯
騰	腾
綵	彩
輈	辀
檻	槛
啞	哑
覽	览
貿	贸
輾	辗
縞	缟
牀	床
盃	杯
鑄	铸
壇	坛
筆	笔
拋	抛
窯	窑
懍	懔
詐	诈
豔	艳
韙	韪
癘	疠
駝	驼
硜	硁
藥	药
棧	栈
燭	烛
廳	厅
櫻	樱
錁	锞
銀	银
頇	顸
鼉	鼍
纈	缬
鎖	锁
娛	娱
喚	唤
墜	坠
鰟	鳑
從	从
蔥	葱
輩	辈
鄭	郑
鬱	郁
帳	帐
紵	纻
註	注
薺	荠
谿	溪
獁	犸
狀	状
鼴	鼹
廈	厦
緊	紧
慍	愠
蟎	螨
鷹	鹰
驛	驿
嗚	呜
籟	籁
臢	臜
淪	沦
瑯	琅
繳	缴
糴	籴
職	职
書	书
藺	蔺
與	与
濾	滤
唄	呗
鼈	鳖
誑	诳
謐	谧
贔	赑
熗	炝
嚙	啮
團	团
瘮	瘆
餜	馃
鸞	鸾
撥	拨
攤	摊
噝	咝
傭	佣
嘮	唠
嬰	婴
砲	炮
粵	粤
鴴	鸻
戶	户
渾	浑
鋁	铝
鍀	锝
韃	鞑
彈	弹
諑	诼
歐	欧
賕	赇
釗	钊
雙	双
鯛	鲷
饜	餍
篤	笃
蟣	虮
琺	珐
槧	椠
試	试
煬	炀
餼	饩
灩	滟
鶿	鹚
懷	怀
懨	恹
蝸	蜗
摺	摺,折
製	制
乾	乾,干
鈁	钫
勁	劲
區	区
縉	缙
羈	羁
攏	拢
樑	梁
紙	纸
輓	挽
犖	荦
堝	埚
鴟	鸱
搥	捶
誦	诵
錫	锡
貪	贪
醬	酱
甯	宁
嚮	向
稱	称
雲	云
鰵	鳘
嶴	岙
愷	恺
罈	坛
僂	偻
彷	彷,仿
糶	粜
鰣	鲥
銑	铣
兗	兖
魛	鱽
瓚	瓒
點	点
諺	谚
諦	谛
鰍	鳅
質	质
燬	毁
飲	饮
練	练
擺	摆
滾	滚
鈄	钭
紆	纡
須	须
輒	辄
讕	谰
瀘	泸
錚	铮
篛	箬
餞	饯
櫧	槠
璫	珰
瞭	瞭,了
吳	吴
綱	纲
墳	坟
費	费
繞	绕
調	调
嚴	严
靂	雳
剄	刭
絆	绊
蓋	盖
腎	肾
豐	丰
詔	诏
釙	钋
灘	滩
饞	馋
艤	舣
癬	癣
鋯	锆
緱	缑
齲	龋
寵	宠
繹	绎
賻	赙
綆	绠
餉	饷
鮊	鲌
檔	档
嘗	尝
傘	伞
鰛	鳁
鎚	锤
纜	缆
稟	禀
櫱	蘖
螢	萤
鐫	镌
紱	绂
脹	胀
溼	湿
偺	咱
灃	沣
獅	狮
饉	馑
鯊	鲨
誣	诬
術	术
闖	闯
煙	烟
驟	骤
擠	挤
撓	挠
湧	涌
磽	硗
統	统
糰	团
顳	颞
藶	苈
繾	缱
軼	轶
詿	诖
醃	腌
銅	铜
錄	录
玀	猡
贐	赆
覓	觅
誕	诞
謔	谑
備	备
儘	尽
蘢	茏
喫	吃
訪	访
櫂	棹
鴰	鸹
馳	驰
縲	缧
搶	抢
凃	涂
療	疗
鋅	锌
獄	狱
屆	届
饈	馐
驊	骅
賑	赈
槓	杠
寢	寝
鉚	铆
廝	厮
齜	龇
類	类
懣	懑
楨	桢
燦	灿
糱	糵
鵰	雕
嫵	妩
魴	鲂
摶	抟
腸	肠
份	份,分
毿	毵
門	门
鎄	锿
鼇	鳌
銖	铢
躒	跞
訕	讪
這	这
紛	纷
銚	铫
縝	缜
龜	龟
脣	唇
暢	畅
說	说
匯	汇
鰱	鲢
綰	绾
餳	饧
囂	嚣
鉅	巨
叄	叁
秈	籼
竊	窃
楓	枫
軒	轩
評	评
遙	遥
釘	钉
絛	绦
歎	叹
壞	坏
鈾	铀
慣	惯
迺	乃
賦	赋
槨	椁
畫	画,划
櫪	枥
癭	瘿
巰	巯
鯴	鲺
聹	聍
懸	悬
濼	泺
歿	殁
瘀	淤
劃	划
稈	秆
養	养
踐	践
樂	乐
蠔	蚝
圖	图
厙	厍
攢	攒
貧	贫
輦	辇
瀆	渎
閭	闾
傯	偬
錮	锢
紲	绁
場	场
謾	谩
韁	缰
鋃	锒
釅	酽
灄	滠
彆	别
鯉	鲤
饊	馓
藍	蓝
櫓	橹
牘	牍
緝	缉
屜	屉
壟	垄
塤	埙
蕢	蒉
臥	卧
襪	袜
獮	狝
繰	缲
鵲	鹊
顴	颧
擷	撷
揹	背
隕	陨
軻	轲
譾	谫
嚀	咛
鈃	钘
閂	闩
臟	脏
還	还
將	将
羆	罴
蘋	苹
屬	属
樓	楼
飯	饭
猙	狰
銘	铭
縛	缚
鴝	鸲
辦	办
誨	诲
親	亲
鎮	镇
網	网
餵	喂
貼	贴
囀	啭
敍	叙
懌	怿
潑	泼
淒	凄
絝	绔
曠	旷
櫨	栌
珮	佩
鷲	鹫
飴	饴
葷	荤
蟶	蛏
懺	忏
購	购
桿	杆
億	亿
鶇	鸫
嬈	娆
堊	垩
躑	踯
讓	让
嘖	啧
錘	锤
紜	纭
並	并
謨	谟
鈮	铌
斷	断
貽	贻
覿	觌
囁	嗫
參	参
呂	吕
僅	仅
緇	缁
繆	缪
納	纳
塊	块
臏	膑
軑	轪
務	务
鍘	铡
糝	糁
鵜	鹈
駟	驷
畬	畲
剮	剐
罰	罚
篳	筚
籲	吁
賽	赛
獫	猃
鞀	鼗
钂	镋
瀅	滢
紇	纥
墊	垫
損	损
薌	芗
澐	沄
沒	没
鎘	镉
傚	效
綜	综
憤	愤
躦	躜
閬	阆
縱	纵
馴	驯
輻	辐
涼	凉
檾	苘
噁	恶
鍃	锪
燄	焰
樣	样
賒	赊
觔	筋
雖	虽
鏘	锵
豎	竖
鱝	鲼
恥	耻
詩	诗
鑭	镧
糲	粝
塵	尘
蕷	蓣
菸	烟
軾	轼
跼	局
諾	诺
羅	罗
劇	剧
鄆	郓
閉	闭
訌	讧
憑	凭
蒓	莼
鮮	鲜
梲	棁
覡	觋
薩	萨
勝	胜
鴆	鸩
鮭	鲑
紮	扎
醱	酦
瀰	弥
閲	阅
駁	驳
權	权
鰷	鲦
鋇	钡
穢	秽
嫗	妪
緙	缂
鱘	鲟
鏝	镘
潤	润
賣	卖
蹤	踪
苧	苎
腦	脑
飫	饫
鵮	鹐
凱	凯
獲	获
噴	喷
諷	讽
惻	恻
鰃	鳂
宂	冗
誌	志
崙	仑
